                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.39984,                0.65824,                0.35136,                0.94171,                0.99543,                      1,                  0.995,                0.95469,                0.99543,                      1,                  0.995,                0.97108,                0.33449,                0.42209,                0.27444,                0.83188,              0.0005348,              0.0005348,              0.0005348
                     76,                0.42774,                0.70417,                0.34373,                0.95783,                0.99549,                      1,                  0.995,                0.95822,                0.99549,                      1,                  0.995,                0.96321,                0.35395,                0.41773,                0.27577,                0.84034,               0.000515,               0.000515,               0.000515
                     77,                0.39721,                0.65057,                0.33749,                0.95552,                0.99564,                      1,                  0.995,                0.94099,                0.99564,                      1,                  0.995,                0.96409,                0.35925,                0.41898,                0.29353,                0.83635,              0.0004952,              0.0004952,              0.0004952
                     78,                0.40721,                0.63272,                0.33988,                0.95598,                0.99563,                      1,                  0.995,                0.94429,                0.99563,                      1,                  0.995,                0.96669,                0.34614,                0.42227,                0.25412,                0.83401,              0.0004754,              0.0004754,              0.0004754
                     79,                0.38656,                0.66885,                0.32307,                0.92717,                0.99542,                      1,                  0.995,                0.95978,                0.99542,                      1,                  0.995,                0.96659,                0.32678,                0.43282,                0.26432,                 0.8295,              0.0004556,              0.0004556,              0.0004556
                     80,                0.38919,                0.65434,                0.35482,                0.94091,                0.99504,                      1,                  0.995,                 0.9605,                0.99504,                      1,                  0.995,                 0.9679,                0.33822,                0.42827,                0.28512,                0.82484,              0.0004358,              0.0004358,              0.0004358
                     81,                0.37383,                0.62169,                0.33506,                0.92308,                0.99546,                      1,                  0.995,                0.93759,                0.99546,                      1,                  0.995,                0.97133,                0.34018,                0.41361,                0.29235,                0.82884,               0.000416,               0.000416,               0.000416
                     82,                0.39379,                0.68193,                0.32989,                0.95117,                0.99541,                      1,                  0.995,                0.94595,                0.99541,                      1,                  0.995,                0.97135,                0.32176,                0.40741,                0.26264,                0.83176,              0.0003962,              0.0003962,              0.0003962
                     83,                0.37195,                0.63779,                0.31961,                0.91597,                0.99567,                      1,                  0.995,                0.93732,                0.99567,                      1,                  0.995,                0.98235,                0.33286,                0.41685,                0.26723,                0.84864,              0.0003764,              0.0003764,              0.0003764
                     84,                0.35947,                0.61479,                0.30153,                 0.9124,                0.99578,                      1,                  0.995,                0.94385,                0.99578,                      1,                  0.995,                0.98305,                0.34475,                0.42304,                0.26504,                0.86616,              0.0003566,              0.0003566,              0.0003566
                     85,                0.36372,                0.61806,                0.29608,                0.94844,                0.99585,                      1,                  0.995,                 0.9582,                0.99585,                      1,                  0.995,                0.97465,                0.34581,                0.42264,                0.25355,                 0.8686,              0.0003368,              0.0003368,              0.0003368
                     86,                0.36464,                0.66282,                 0.2987,                0.92812,                0.99592,                      1,                  0.995,                0.96423,                0.99592,                      1,                  0.995,                0.97466,                0.33536,                0.41581,                0.25769,                0.86028,               0.000317,               0.000317,               0.000317
                     87,                0.34314,                0.61292,                0.28891,                0.91463,                0.99593,                      1,                  0.995,                0.97523,                0.99593,                      1,                  0.995,                0.96696,                0.32292,                0.41194,                0.25559,                0.84805,              0.0002972,              0.0002972,              0.0002972
                     88,                0.36292,                0.61684,                0.30811,                0.92988,                0.99595,                      1,                  0.995,                 0.9682,                0.99595,                      1,                  0.995,                 0.9858,                0.30919,                0.39373,                  0.258,                0.83649,              0.0002774,              0.0002774,              0.0002774
                     89,                0.36155,                0.60254,                0.29458,                 0.9292,                0.99598,                      1,                  0.995,                0.97405,                0.99598,                      1,                  0.995,                0.98658,                 0.3049,                0.39097,                0.25485,                0.83092,              0.0002576,              0.0002576,              0.0002576
